"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y4-number-pre-01-v1","Pre-Test","AC9M4N01","What value does the digit 4 have?","Constructed Response","Easy","Understanding","decimal-place-value","0.4","","","","",""
"y4-number-pre-02-v1","Pre-Test","AC9M4N01","Compare the two decimals.","Selected Response","Moderate","Reasoning","decimal-length","4.8 is greater than 4.79","","","","",""
"y4-number-pre-03-v1","Pre-Test","AC9M4N02","How many numbers are even?","Constructed Response","Easy","Recall","odd-even-properties","3","","","","",""
"y4-number-pre-04-v1","Pre-Test","AC9M4N02","Enter the smallest positive number that makes the sum even.","Constructed Response","Moderate","Application","odd-even-properties","1","","","","",""
"y4-number-pre-05-v1","Pre-Test","AC9M4N03","Complete the equivalent fraction.","Constructed Response","Moderate","Application","equivalent-fraction-scale","9","","","","",""
"y4-number-pre-06-v1","Pre-Test","AC9M4N03","Write the fraction as a decimal.","Constructed Response","Easy","Understanding","fraction-decimal-connection","0.7","","","","",""
"y4-number-pre-07-v1","Pre-Test","AC9M4N04","Continue the quarter count. Enter the missing numerator.","Constructed Response","Moderate","Application","fraction-number-line","4","","","","",""
"y4-number-pre-08-v1","Pre-Test","AC9M4N04","What decimal is marked on the line?","Constructed Response","Challenging","Reasoning","mixed-number-whole, fraction-number-line","1.75","","","","",""
"y4-number-pre-09-v1","Pre-Test","AC9M4N05","Find the scaled product.","Constructed Response","Easy","Recall","powers-ten-direction","4600","","","","",""
"y4-number-pre-10-v1","Pre-Test","AC9M4N06","Find the sum.","Constructed Response","Moderate","Application","operation-story-structure","4243","","","","",""
"y4-number-pre-11-v1","Pre-Test","AC9M4N06","Find the product.","Constructed Response","Moderate","Application","additive-vs-multiplicative","204","","","","",""
"y4-number-pre-12-v1","Pre-Test","AC9M4N06","Choose the multiplication check.","Selected Response","Challenging","Reasoning","additive-vs-multiplicative","26 × 6 = 156","","","","",""
"y4-number-pre-13-v1","Pre-Test","AC9M4N07","Give 3,748 to the nearest hundred.","Constructed Response","Easy","Understanding","estimation-vs-exact","3700","","","","",""
"y4-number-pre-14-v1","Pre-Test","AC9M4N07","Is the estimate reasonable?","Selected Response","Moderate","Reasoning","reasonableness-no-reference, financial-operation-choice","Yes","","","","",""
"y4-number-pre-15-v1","Pre-Test","AC9M4N08","How much of the budget remains?","Constructed Response","Moderate","Application","financial-operation-choice","64","","","","",""
"y4-number-pre-16-v1","Pre-Test","AC9M4N08","How many items altogether?","Constructed Response","Moderate","Application","additive-vs-multiplicative","192","","","","",""
"y4-number-pre-17-v1","Pre-Test","AC9M4N08","How many seats can still be used?","Constructed Response","Challenging","Transfer","operation-story-structure, additive-vs-multiplicative","179","","","","",""
"y4-number-pre-18-v1","Pre-Test","AC9M4N08","What total does the model represent?","Constructed Response","Easy","Understanding","additive-vs-multiplicative","48","","","","",""
"y4-number-pre-19-v1","Pre-Test","AC9M4N09","Enter the fourth output.","Constructed Response","Moderate","Understanding","algorithm-step-order","24","","","","",""
"y4-number-pre-20-v1","Pre-Test","AC9M4N09","Order the steps that make this sequence.","Manipulated Response","Challenging","Reasoning","algorithm-step-order, pattern-rule-vs-example","Start at 4.||Record the number.||Add 6.||Repeat the last two steps.","","","","",""
"y4-number-post-01-v1","Post-Test","AC9M4N01","What value does the digit 8 have?","Constructed Response","Easy","Understanding","decimal-place-value","0.08","","","","",""
"y4-number-post-02-v1","Post-Test","AC9M4N01","Choose the true decimal comparison.","Selected Response","Moderate","Reasoning","decimal-length","5.6 is greater than 5.42","","","","",""
"y4-number-post-03-v1","Post-Test","AC9M4N02","How many numbers are odd?","Constructed Response","Easy","Recall","odd-even-properties","3","","","","",""
"y4-number-post-04-v1","Post-Test","AC9M4N02","Which rule is always true?","Selected Response","Moderate","Reasoning","odd-even-properties","odd × odd = odd","","","","",""
"y4-number-post-05-v1","Post-Test","AC9M4N03","Complete this equivalent fraction.","Constructed Response","Moderate","Application","equivalent-fraction-scale","15","","","","",""
"y4-number-post-06-v1","Post-Test","AC9M4N03","Enter the correct decimal.","Constructed Response","Challenging","Reasoning","fraction-decimal-connection","0.6","","","","",""
"y4-number-post-07-v1","Post-Test","AC9M4N04","Continue the three-quarter count. Enter the missing numerator.","Constructed Response","Moderate","Application","fraction-number-line","9","","","","",""
"y4-number-post-08-v1","Post-Test","AC9M4N04","Enter the decimal at the marked point.","Constructed Response","Challenging","Reasoning","mixed-number-whole, fraction-number-line","2.5","","","","",""
"y4-number-post-09-v1","Post-Test","AC9M4N05","Find the quotient.","Constructed Response","Easy","Understanding","powers-ten-direction","78","","","","",""
"y4-number-post-10-v1","Post-Test","AC9M4N06","Find the difference.","Constructed Response","Moderate","Application","operation-story-structure","3264","","","","",""
"y4-number-post-11-v1","Post-Test","AC9M4N06","Work out the multiplication.","Constructed Response","Moderate","Application","additive-vs-multiplicative","376","","","","",""
"y4-number-post-12-v1","Post-Test","AC9M4N06","Select the inverse check.","Selected Response","Challenging","Reasoning","additive-vs-multiplicative","108 × 8 = 864","","","","",""
"y4-number-post-13-v1","Post-Test","AC9M4N07","Give 846 to the nearest hundred.","Constructed Response","Easy","Understanding","estimation-vs-exact","800","","","","",""
"y4-number-post-14-v1","Post-Test","AC9M4N07","Use $50 for each item. Enter the estimated total.","Constructed Response","Challenging","Reasoning","reasonableness-no-reference, financial-operation-choice","200","","","","",""
"y4-number-post-15-v1","Post-Test","AC9M4N08","How much remains from the $400 budget?","Constructed Response","Moderate","Application","financial-operation-choice","85","","","","",""
"y4-number-post-16-v1","Post-Test","AC9M4N08","Enter the total cost.","Constructed Response","Moderate","Application","operation-story-structure, financial-operation-choice","210","","","","",""
"y4-number-post-17-v1","Post-Test","AC9M4N08","How many students are travelling?","Constructed Response","Challenging","Transfer","operation-story-structure, additive-vs-multiplicative","109","","","","",""
"y4-number-post-18-v1","Post-Test","AC9M4N08","How much remains from the $500 budget?","Constructed Response","Challenging","Transfer","financial-operation-choice, additive-vs-multiplicative","131","","","","",""
"y4-number-post-19-v1","Post-Test","AC9M4N09","Enter the third output.","Constructed Response","Moderate","Understanding","algorithm-step-order","20","","","","",""
"y4-number-post-20-v1","Post-Test","AC9M4N09","Order the steps that generate this sequence.","Manipulated Response","Challenging","Application","algorithm-step-order, pattern-rule-vs-example","Start at 8.||Record the number.||Add 9.||Repeat the last two steps.","","","","",""
