"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y2-number-pre-01-v1","Pre-Test","AC9M2N01","Each flat is 100, rod is 10 and small block is 1. Write the number.","Constructed Response","Easy","Recall","numeral-quantity-disconnect","326","","","","",""
"y2-number-pre-02-v1","Pre-Test","AC9M2N01","Put these numbers in order. Smallest first.","Manipulated Response","Moderate","Application","numeral-quantity-disconnect","407||470||740","","","","",""
"y2-number-pre-03-v1","Pre-Test","AC9M2N02","What number do 5 hundreds, 0 tens and 4 ones make?","Constructed Response","Easy","Understanding","place-value-position","504","","","","",""
"y2-number-pre-04-v1","Pre-Test","AC9M2N02","Which partition does not make 603?","Selected Response","Challenging","Reasoning","zero-placeholder, part-whole-conservation","600 + 30","","","","",""
"y2-number-pre-05-v1","Pre-Test","AC9M2N03","One of 4 equal parts is selected. Write the numerator.","Constructed Response","Easy","Understanding","unequal-fraction-parts","1","","","","",""
"y2-number-pre-06-v1","Pre-Test","AC9M2N03","Halve each quarter once. How many equal parts are there now?","Constructed Response","Moderate","Understanding","denominator-size","8","","","","",""
"y2-number-pre-07-v1","Pre-Test","AC9M2N04","What is 34 + 25?","Constructed Response","Easy","Recall","operation-story-structure","59","","","","",""
"y2-number-pre-08-v1","Pre-Test","AC9M2N04","Find 82 - 37.","Constructed Response","Moderate","Application","operation-story-structure","45","","","","",""
"y2-number-pre-09-v1","Pre-Test","AC9M2N04","Which strategy correctly solves 48 + 27?","Selected Response","Challenging","Reasoning","operation-story-structure","50 + 25","","","","",""
"y2-number-pre-10-v1","Pre-Test","AC9M2N05","How many counters are in this array?","Constructed Response","Easy","Understanding","additive-vs-multiplicative","15","","","","",""
"y2-number-pre-11-v1","Pre-Test","AC9M2N05","Share 24 equally among 4 teams. How many does each team get?","Constructed Response","Moderate","Application","equal-sharing-vs-grouping","6","","","","",""
"y2-number-pre-12-v1","Pre-Test","AC9M2N05","20 counters make groups of 5. Which statement is correct?","Selected Response","Challenging","Reasoning","equal-sharing-vs-grouping","There are 4 groups.","","","","",""
"y2-number-pre-13-v1","Pre-Test","AC9M2N06","A puzzle costs $6. A ball costs $4. Enter the total in dollars.","Constructed Response","Easy","Understanding","coin-count-vs-value","10","","","","",""
