"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y1-number-pre-01-v2","Pre-Test","AC9M1N01","Each long block is 10. Each small block is 1. What number is shown?","Constructed Response","Easy","Recall","numeral-quantity-disconnect","46","","","","",""
"y1-number-pre-02-v2","Pre-Test","AC9M1N02","What number do these parts make?","Constructed Response","Easy","Understanding","place-value-position","38","","","","",""
"y1-number-pre-03-v2","Pre-Test","AC9M1N03","How many counters altogether?","Constructed Response","Easy","Understanding","skip-count-step","20","","","","",""
"y1-number-pre-04-v2","Pre-Test","AC9M1N04","What is 8 + 6?","Constructed Response","Easy","Recall","operation-story-structure","14","","","","",""
"y1-number-pre-05-v2","Pre-Test","AC9M1N05","6 books are red. 5 are blue. How many books?","Constructed Response","Easy","Understanding","operation-story-structure","11","","","","",""
"y1-number-pre-06-v2","Pre-Test","AC9M1N06","Share 12 equally onto 3 plates. How many on each?","Constructed Response","Easy","Understanding","equal-sharing-vs-grouping","4","","","","",""
"y1-number-pre-07-v2","Pre-Test","AC9M1A01","What number comes next?","Constructed Response","Easy","Recall","skip-count-step","8","","","","",""
"y1-number-pre-08-v2","Pre-Test","AC9M1A02","Add the next part.","Manipulated Response","Easy","Recall","repeating-unit","star","","","","",""
"y1-number-pre-09-v2","Pre-Test","AC9M1N01","Fill the gap in the number path.","Constructed Response","Easy","Understanding","numeral-quantity-disconnect","120","","","","",""
"y1-number-pre-10-v2","Pre-Test","AC9M1N04","The whole is 12. One part is 5. Find the other part.","Constructed Response","Easy","Understanding","operation-story-structure","7","","","","",""
"y1-number-pre-11-v2","Pre-Test","AC9M1N02","47 is 20 and what other part?","Constructed Response","Moderate","Application","nonstandard-partition, part-whole-conservation","27","","","","",""
"y1-number-pre-12-v2","Pre-Test","AC9M1N03","Which grouping represents 120 counters?","Selected Response","Moderate","Reasoning","skip-count-step","12 groups of 10","","","","",""
"y1-number-pre-13-v2","Pre-Test","AC9M1N04","What is 17 - 9?","Constructed Response","Moderate","Application","operation-story-structure","8","","","","",""
"y1-number-pre-14-v2","Pre-Test","AC9M1N05","A game costs $4. A ball costs $3. How much altogether?","Constructed Response","Moderate","Application","coin-count-vs-value","7","","","","",""
"y1-number-pre-15-v2","Pre-Test","AC9M1N06","Put 16 into groups of 4. How many groups?","Constructed Response","Moderate","Application","equal-sharing-vs-grouping","4","","","","",""
"y1-number-pre-16-v2","Pre-Test","AC9M1A01","Fill the gap in the skip-count.","Constructed Response","Moderate","Application","skip-count-step","30","","","","",""
"y1-number-pre-17-v2","Pre-Test","AC9M1A02","Build the next 2 parts.","Manipulated Response","Moderate","Understanding","repeating-unit","star||star","","","","",""
"y1-number-pre-18-v2","Pre-Test","AC9M1N01","Put the numbers in order. Smallest first.","Manipulated Response","Moderate","Application","numeral-quantity-disconnect","97||110||120","","","","",""
"y1-number-pre-19-v2","Pre-Test","AC9M1N05","Mia has more coins. Does she always have more money?","Selected Response","Challenging","Reasoning","coin-count-vs-value","No. Coin values matter.","","","","",""
"y1-number-pre-20-v2","Pre-Test","AC9M1N06","Is this share equal?","Selected Response","Challenging","Reasoning","equal-sharing-vs-grouping","No","","","","",""
"y1-number-post-01-v2","Post-Test","AC9M1N01","Each long block is 10. Each small block is 1. What number is shown?","Constructed Response","Easy","Recall","numeral-quantity-disconnect","73","","","","",""
"y1-number-post-02-v2","Post-Test","AC9M1N02","What number do these parts make?","Constructed Response","Easy","Understanding","place-value-position","64","","","","",""
