"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y5-number-pre-01-v1","Pre-Test","AC9M5N01","What value does the digit 4 have?","Constructed Response","Easy","Understanding","decimal-place-value","0.04","","","","",""
"y5-number-pre-02-v1","Pre-Test","AC9M5N01","Order the decimals from smallest to largest.","Manipulated Response","Moderate","Application","decimal-length","3.074||3.407||3.47","","","","",""
"y5-number-pre-03-v1","Pre-Test","AC9M5N02","How many factor pairs does 36 have?","Constructed Response","Easy","Recall","factor-vs-multiple","5","","","","",""
"y5-number-pre-04-v1","Pre-Test","AC9M5N02","Is the student's reason correct?","Selected Response","Moderate","Reasoning","factor-vs-multiple","No. Being even does not prove divisibility by 4.","","","","",""
"y5-number-pre-05-v1","Pre-Test","AC9M5N03","Arrange these fractions from least to greatest.","Manipulated Response","Moderate","Application","denominator-size, equivalent-fraction-scale","3/4,5/6,7/8","","","","",""
"y5-number-pre-06-v1","Pre-Test","AC9M5N03","The marker is ?/4. Enter the numerator.","Constructed Response","Challenging","Reasoning","fraction-number-line, mixed-number-whole","5","","","","",""
"y5-number-pre-07-v1","Pre-Test","AC9M5N04","Enter the percentage shaded. Use digits only.","Constructed Response","Easy","Understanding","percentage-whole","25","","","","",""
"y5-number-pre-08-v1","Pre-Test","AC9M5N04","3/4 equals what percentage? Enter the number only.","Constructed Response","Moderate","Application","fraction-decimal-connection, percentage-whole","75","","","","",""
"y5-number-pre-09-v1","Pre-Test","AC9M5N05","Complete the addition. Enter the missing numerator.","Constructed Response","Moderate","Application","fraction-add-denominator","8","","","","",""
"y5-number-pre-10-v1","Pre-Test","AC9M5N05","Enter the correct numerator over 10.","Constructed Response","Challenging","Reasoning","fraction-add-denominator","5","","","","",""
"y5-number-pre-11-v1","Pre-Test","AC9M5N06","Multiply the two numbers.","Constructed Response","Moderate","Application","additive-vs-multiplicative","9022","","","","",""
"y5-number-pre-12-v1","Pre-Test","AC9M5N06","Correct the recorded product.","Constructed Response","Moderate","Reasoning","reasonableness-no-reference, additive-vs-multiplicative","912","","","","",""
"y5-number-pre-13-v1","Pre-Test","AC9M5N07","Enter the remainder.","Constructed Response","Easy","Understanding","remainder-context","5","","","","",""
"y5-number-pre-14-v1","Pre-Test","AC9M5N07","How many boxes are needed?","Constructed Response","Challenging","Transfer","remainder-context, additive-vs-multiplicative","122","","","","",""
"y5-number-pre-15-v1","Pre-Test","AC9M5N08","Use 80 × 30. Enter the estimate.","Constructed Response","Easy","Understanding","estimation-vs-exact","2400","","","","",""
"y5-number-pre-16-v1","Pre-Test","AC9M5N08","Is the ticket estimate reasonable?","Selected Response","Challenging","Reasoning","reasonableness-no-reference, financial-operation-choice","Yes. $40 × 7 is about $280.","","","","",""
"y5-number-pre-17-v1","Pre-Test","AC9M5N09","How much of the camp budget remains?","Constructed Response","Moderate","Application","operation-story-structure, financial-operation-choice","158","","","","",""
"y5-number-pre-18-v1","Pre-Test","AC9M5N09","How many seats can be used?","Constructed Response","Challenging","Transfer","operation-story-structure, additive-vs-multiplicative","491","","","","",""
"y5-number-pre-19-v1","Pre-Test","AC9M5N10","What is the final output?","Constructed Response","Moderate","Understanding","algorithm-step-order, factor-vs-multiple","24","","","","",""
"y5-number-pre-20-v1","Pre-Test","AC9M5N10","Order the steps that test divisibility by 3.","Manipulated Response","Moderate","Application","algorithm-step-order, pattern-rule-vs-example","Add the digits.||Check whether the sum is divisible by 3.||State the result.","","","","",""
"y5-number-post-01-v1","Post-Test","AC9M5N01","Enter the correct decimal.","Constructed Response","Moderate","Reasoning","decimal-place-value","6.305","","","","",""
"y5-number-post-02-v1","Post-Test","AC9M5N01","Order the measurements from smallest to largest.","Manipulated Response","Challenging","Transfer","decimal-length, decimal-place-value","2.059||2.095||2.5||2.509","","","","",""
"y5-number-post-03-v1","Post-Test","AC9M5N02","How many factors does 48 have?","Constructed Response","Easy","Recall","factor-vs-multiple","10","","","","",""
"y5-number-post-04-v1","Post-Test","AC9M5N02","Enter the smallest three-digit number divisible by 6 and 5.","Constructed Response","Challenging","Reasoning","factor-vs-multiple","120","","","","",""
"y5-number-post-05-v1","Post-Test","AC9M5N03","Place these fractions in increasing order.","Manipulated Response","Moderate","Application","denominator-size, mixed-number-whole","7/6,5/4,4/3","","","","",""
"y5-number-post-06-v1","Post-Test","AC9M5N03","The marker is ?/8. Enter the numerator.","Constructed Response","Challenging","Reasoning","fraction-number-line, mixed-number-whole","11","","","","",""
"y5-number-post-07-v1","Post-Test","AC9M5N04","How much of the grid is shaded? Enter a percentage.","Constructed Response","Easy","Understanding","percentage-whole","75","","","","",""
"y5-number-post-08-v1","Post-Test","AC9M5N04","Which correction is accurate?","Selected Response","Moderate","Reasoning","percentage-whole, fraction-decimal-connection","0.4 = 40% = 4/10","","","","",""
"y5-number-post-09-v1","Post-Test","AC9M5N05","Complete the subtraction. Enter the missing numerator.","Constructed Response","Moderate","Application","fraction-add-denominator","5","","","","",""
"y5-number-post-10-v1","Post-Test","AC9M5N05","Enter the correct numerator over 6.","Constructed Response","Challenging","Reasoning","fraction-add-denominator","5","","","","",""
"y5-number-post-11-v1","Post-Test","AC9M5N06","Calculate the product.","Constructed Response","Moderate","Application","additive-vs-multiplicative","25308","","","","",""
"y5-number-post-12-v1","Post-Test","AC9M5N06","What should the product be?","Constructed Response","Challenging","Reasoning","reasonableness-no-reference, additive-vs-multiplicative","9888","","","","",""
"y5-number-post-13-v1","Post-Test","AC9M5N07","What remainder is left?","Constructed Response","Moderate","Application","remainder-context","3","","","","",""
"y5-number-post-14-v1","Post-Test","AC9M5N07","How many buses are needed?","Constructed Response","Challenging","Transfer","remainder-context, additive-vs-multiplicative","133","","","","",""
"y5-number-post-15-v1","Post-Test","AC9M5N08","Use 300 × 40. Enter the estimate.","Constructed Response","Moderate","Understanding","estimation-vs-exact","12000","","","","",""
"y5-number-post-16-v1","Post-Test","AC9M5N08","Is the equipment estimate reasonable?","Selected Response","Challenging","Reasoning","reasonableness-no-reference, financial-operation-choice","Yes. 300 × 40 is about 12,000.","","","","",""
"y5-number-post-17-v1","Post-Test","AC9M5N09","How much of the event budget remains?","Constructed Response","Moderate","Application","operation-story-structure, financial-operation-choice","246","","","","",""
"y5-number-post-18-v1","Post-Test","AC9M5N09","How many seats are occupied?","Constructed Response","Challenging","Transfer","operation-story-structure, additive-vs-multiplicative","1039","","","","",""
"y5-number-post-19-v1","Post-Test","AC9M5N10","Run the algorithm. Enter its output.","Constructed Response","Easy","Understanding","algorithm-step-order, factor-vs-multiple","25","","","","",""
"y5-number-post-20-v1","Post-Test","AC9M5N10","Order the steps that test whether 8 is a factor.","Manipulated Response","Moderate","Application","algorithm-step-order, pattern-rule-vs-example","Divide the number by 8.||Check whether the remainder is zero.||State whether 8 is a factor.","","","","",""
