"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y6-measurement-pre-01-v3","Pre-Test","AC9M6M01","A path section is 0.008 km long. Enter its length in metres.","Constructed response","Easy","Understanding","metric-decimal-place-value","8","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-02-v3","Pre-Test","AC9M6M02","A rectangular display is 12.5 m long and 6 m wide. Enter its area in square metres.","Constructed response","Moderate","Application","linear-vs-square-units","75","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-03-v3","Pre-Test","AC9M6M03","A coach departs at 13:35 and arrives at 15:20. Enter its journey duration in minutes.","Constructed response","Moderate","Application","elapsed-time-base-ten","105","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-04-v3","Pre-Test","AC9M6M04","Two adjacent angles lie on a straight line. One is 126 degrees. Enter the other angle in degrees.","Constructed response","Moderate","Application","angle-relationship-confusion","54","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-05-v3","Pre-Test","AC9M6M01","A water vat contains 3.425 L. Enter this capacity in millilitres.","Constructed response","Moderate","Application","conversion-direction","3425","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-06-v3","Pre-Test","AC9M6M02","A rectangular garden has area 154 square metres and width 11 m. Enter its length in metres.","Constructed response","Moderate","Application","rectangle-area-factor-pairs","14","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-07-v3","Pre-Test","AC9M6M03","A cruise starts at 10:38 and ends at 11:53. Enter its duration in minutes.","Constructed response","Moderate","Application","elapsed-time-base-ten","75","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-08-v3","Pre-Test","AC9M6M04","Three angles around a point are 116 degrees, 94 degrees and x. Enter x in degrees.","Constructed response","Moderate","Application","angle-point-vs-line-total","150","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-09-v3","Pre-Test","AC9M6M01","A container holds 3.8 kg of flour. After 750 g is used, enter the remaining mass in grams.","Constructed response","Moderate","Application","mixed-unit-comparison","3050","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-10-v3","Pre-Test","AC9M6M02","A rectangular floor has area 154 square metres. Its whole-number length is greater than 13 m but no more than 14 m. Enter the length and width in metres, separated by a comma.","Structured explanation","Moderate","Reasoning","rectangle-area-factor-pairs","14,11","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-11-v3","Pre-Test","AC9M6M03","A performance requires arrival by 17:15. A bus arrives at exactly 17:15. A student says it is late. Enter how many minutes late it is.","Constructed response","Challenging","Reasoning","timetable-deadline-inclusive","0","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-12-v3","Pre-Test","AC9M6M04","A student subtracts 46 degrees from 90 to find the adjacent angle on a straight line. Enter the correct adjacent angle in degrees.","Constructed response","Challenging","Reasoning","angle-point-vs-line-total","134","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-13-v3","Pre-Test","AC9M6M01","A student writes that 0.76 m equals 76 mm. Enter the correct length in millimetres.","Constructed response","Challenging","Reasoning","metric-decimal-place-value","760","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-14-v3","Pre-Test","AC9M6M02","A student says a 14 m by 6 m banner has area 40 square metres because they added all four sides. Enter the correct area in square metres.","Constructed response","Challenging","Reasoning","perimeter-vs-area","84","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-15-v3","Pre-Test","AC9M6M03","Service A leaves at 09:10 and arrives at 10:35. Service B leaves at 09:30 and arrives at 10:15. Enter how many minutes earlier B arrives than A.","Constructed response","Challenging","Reasoning","timetable-earliest-departure","20","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-16-v3","Pre-Test","AC9M6M04","Angles around a point are 105 degrees, 85 degrees, 75 degrees and x. A student uses a total of 180 degrees. Enter the correct value of x in degrees.","Constructed response","Challenging","Reasoning","angle-point-vs-line-total","95","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-17-v3","Pre-Test","AC9M6M01","A tank needs 4.15 L more water. Which statement gives an equivalent amount and a valid reason?","Selected justification","Very Challenging","Transfer","conversion-direction","4150 mL, because multiplying litres by 1000 preserves the amount.","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-18-v3","Pre-Test","AC9M6M02","Two rectangular enclosures each have area 72 square metres. Design A is 9 m by 8 m. Design B is 12 m by 6 m. Enter the difference between their perimeters in metres.","Constructed response","Very Challenging","Transfer","rectangle-area-factor-pairs","2","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-19-v3","Pre-Test","AC9M6M03","A train leaves at 08:42 and arrives at 09:31. A connecting bus leaves at 09:55 and arrives at 10:28. Enter the total time from the train departure to the bus arrival in minutes.","Constructed response","Very Challenging","Transfer","timetable-wait-time","106","Approved","","","","Proceed to pilot calibration"
"y6-measurement-pre-20-v3","Pre-Test","AC9M6M04","Two straight bars cross. One angle is 56 degrees. Let x be its adjacent angle and y its vertically opposite angle. Enter x,y using a comma.","Structured explanation","Very Challenging","Transfer","vertical-opposite-supplement","124,56","Approved","","","","Proceed to pilot calibration"
"y6-measurement-post-01-v3","Post-Test","AC9M6M01","A short trail section is 0.006 km long. Enter its length in metres.","Constructed response","Easy","Understanding","metric-decimal-place-value","6","Approved","","","","Proceed to pilot calibration"
"y6-measurement-post-02-v3","Post-Test","AC9M6M02","A rectangular solar array is 14.5 m long and 6 m wide. Enter its area in square metres.","Constructed response","Moderate","Application","linear-vs-square-units","87","Approved","","","","Proceed to pilot calibration"
"y6-measurement-post-03-v3","Post-Test","AC9M6M03","A coach departs at 14:25 and arrives at 16:10. Enter the journey duration in minutes.","Constructed response","Moderate","Application","elapsed-time-base-ten","105","Approved","","","","Proceed to pilot calibration"
"y6-measurement-post-04-v3","Post-Test","AC9M6M04","Two adjacent angles on a straight bridge support form 180 degrees. One is 137 degrees. Enter the other angle.","Constructed response","Moderate","Application","angle-relationship-confusion","43","Approved","","","","Proceed to pilot calibration"
