"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y3-measurement-pre-01-v3","Pre-Test","AC9M3M01","Which unit is most suitable for measuring the mass of a full school bag?","Selected response","Easy","Recall","inappropriate-metric-unit","kilograms","","","","",""
"y3-measurement-pre-02-v3","Pre-Test","AC9M3M02","Read the ruler shown. Enter the pencil's length in centimetres.","Constructed response","Easy","Understanding","scale-interval-value","9","","","","",""
"y3-measurement-pre-03-v3","Pre-Test","AC9M3M03","Enter the number of minutes in 2 hours.","Constructed response","Easy","Understanding","duration-unit-scale","120","","","","",""
"y3-measurement-pre-04-v3","Pre-Test","AC9M3M04","Read the breakfast-time clock shown. Enter the time as four digits, without punctuation.","Constructed response","Easy","Understanding","analog-hand-role","0725","","","","",""
"y3-measurement-pre-05-v3","Pre-Test","AC9M3M05","A window opens less than a square corner. How does its opening compare with a right angle?","Selected response","Easy","Understanding","right-angle-orientation","Less than a right angle","","","","",""
"y3-measurement-pre-06-v3","Pre-Test","AC9M3M01","A known metre stick is about the same length as a desk. Two such desks are placed end to end. Enter a reasonable estimate of their total length in metres.","Constructed response","Easy","Understanding","estimate-vs-exact-reading","2","","","","",""
"y3-measurement-pre-07-v3","Pre-Test","AC9M3M02","Read the apple scale shown. Enter the mass in grams.","Constructed response","Easy","Application","scale-interval-value","600","","","","",""
"y3-measurement-pre-08-v3","Pre-Test","AC9M3M03","Enter the number of seconds in 3 minutes.","Constructed response","Moderate","Application","duration-unit-scale","180","","","","",""
"y3-measurement-pre-09-v3","Pre-Test","AC9M3M04","Read the school-bell clock shown. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","minute-mark-counting","0847","","","","",""
"y3-measurement-pre-10-v3","Pre-Test","AC9M3M05","A robot makes a quarter turn anticlockwise. Which statement describes the angle turned?","Selected response","Moderate","Application","turn-size-vs-direction","It is equal to a right angle.","","","","",""
"y3-measurement-pre-11-v3","Pre-Test","AC9M3M01","One apple has a familiar mass of about 150 g. Enter a reasonable estimate for the mass of 4 similar apples in grams.","Constructed response","Moderate","Application","estimate-vs-exact-reading","600","","","","",""
"y3-measurement-pre-12-v3","Pre-Test","AC9M3M02","Read the lemonade jug shown. Enter the capacity in millilitres.","Constructed response","Moderate","Application","scale-interval-value","750","","","","",""
"y3-measurement-pre-13-v3","Pre-Test","AC9M3M03","One reading session lasts 1 hour and another lasts 45 minutes. Enter the difference in minutes.","Constructed response","Moderate","Application","duration-unit-scale","15","","","","",""
"y3-measurement-pre-14-v3","Pre-Test","AC9M3M04","Read the lunch-time clock shown. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","analog-hand-role","1213","","","","",""
"y3-measurement-pre-15-v3","Pre-Test","AC9M3M05","Two pairs of scissors have the same opening, but one pair has longer blades. Which comparison is correct?","Selected response","Moderate","Application","angle-arm-length","The angles are equal because blade length does not change the opening.","","","","",""
"y3-measurement-pre-16-v3","Pre-Test","AC9M3M02","A blue ribbon is 84 cm long and a red ribbon is 57 cm long. Enter the difference in centimetres.","Constructed response","Moderate","Application","mixed-unit-comparison","27","","","","",""
"y3-measurement-pre-17-v3","Pre-Test","AC9M3M01","A familiar cup holds about 250 mL. Enter a reasonable estimate for 3 full cups in millilitres.","Constructed response","Challenging","Reasoning","estimate-vs-exact-reading","750","","","","",""
"y3-measurement-pre-18-v3","Pre-Test","AC9M3M02","A pencil starts at the 2 cm mark and ends at the 13 cm mark. A student reports 13 cm. Enter the pencil's actual length in centimetres.","Constructed response","Challenging","Reasoning","ruler-starting-point","11","","","","",""
"y3-measurement-pre-19-v3","Pre-Test","AC9M3M04","On a clock, the long hand points to 6 and the short hand is halfway between 4 and 5. A student says 6:04. Enter the correct time as four digits, without punctuation.","Constructed response","Challenging","Reasoning","analog-hand-role","0430","","","","",""
"y3-measurement-pre-20-v3","Pre-Test","AC9M3M02","Three parcels have masses 425 g, 680 g and 540 g. Enter the difference between the heaviest and lightest parcel in grams.","Constructed response","Very Challenging","Transfer","mixed-unit-comparison","255","","","","",""
"y3-measurement-post-01-v3","Post-Test","AC9M3M01","Which unit is most suitable for the mass of a full suitcase?","Selected response","Easy","Recall","inappropriate-metric-unit","kilograms","","","","",""
"y3-measurement-post-02-v3","Post-Test","AC9M3M02","Read the ruler shown. Enter the crayon length in centimetres.","Constructed response","Easy","Understanding","scale-interval-value","8","","","","",""
"y3-measurement-post-03-v3","Post-Test","AC9M3M03","How many minutes in 3 hours?","Constructed response","Easy","Understanding","duration-unit-scale","180","","","","",""
"y3-measurement-post-04-v3","Post-Test","AC9M3M04","Read the training clock. Enter the time as four digits, without punctuation.","Constructed response","Easy","Understanding","analog-hand-role","0935","","","","",""
"y3-measurement-post-05-v3","Post-Test","AC9M3M05","A door opens wider than a square corner. How does its opening compare with a right angle?","Selected response","Easy","Understanding","right-angle-orientation","Greater than a right angle","","","","",""
"y3-measurement-post-06-v3","Post-Test","AC9M3M01","A familiar metre stick is about as long as a bench. Three such benches are placed end to end. Using this benchmark, estimate the total length in metres.","Constructed response","Easy","Understanding","estimate-vs-exact-reading","3","","","","",""
"y3-measurement-post-07-v3","Post-Test","AC9M3M02","Read the flour scale shown. Enter the mass in grams.","Constructed response","Easy","Application","scale-interval-value","800","","","","",""
"y3-measurement-post-08-v3","Post-Test","AC9M3M03","How many seconds in 4 minutes?","Constructed response","Moderate","Application","duration-unit-scale","240","","","","",""
"y3-measurement-post-09-v3","Post-Test","AC9M3M04","Read the library clock. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","minute-mark-counting","1058","","","","",""
"y3-measurement-post-10-v3","Post-Test","AC9M3M05","A map arrow makes a quarter turn clockwise. Which statement describes the turn?","Selected response","Moderate","Application","turn-size-vs-direction","It is equal to a right angle.","","","","",""
"y3-measurement-post-11-v3","Post-Test","AC9M3M01","One orange has a familiar mass of about 200 g. Using this benchmark, estimate the mass of 4 similar oranges in grams.","Constructed response","Moderate","Application","estimate-vs-exact-reading","800","","","","",""
"y3-measurement-post-12-v3","Post-Test","AC9M3M02","Read the juice jug shown. Enter the amount in millilitres.","Constructed response","Moderate","Application","scale-interval-value","650","","","","",""
"y3-measurement-post-13-v3","Post-Test","AC9M3M03","One practice lasts 1 hour and another lasts 40 minutes. What is the difference in minutes?","Constructed response","Moderate","Application","duration-unit-scale","20","","","","",""
"y3-measurement-post-14-v3","Post-Test","AC9M3M04","Read the excursion clock. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","analog-hand-role","0219","","","","",""
"y3-measurement-post-15-v3","Post-Test","AC9M3M05","Two angles have the same opening but one has longer arms. Which comparison is correct?","Selected response","Moderate","Application","angle-arm-length","The angles are equal because arm length does not change the opening.","","","","",""
"y3-measurement-post-16-v3","Post-Test","AC9M3M02","A green ribbon is 83 cm and a yellow ribbon is 56 cm. What is the difference in centimetres?","Constructed response","Moderate","Application","mixed-unit-comparison","27","","","","",""
"y3-measurement-post-17-v3","Post-Test","AC9M3M01","A familiar mug holds about 300 mL. Using this benchmark, estimate the amount in 3 full mugs in millilitres.","Constructed response","Challenging","Reasoning","estimate-vs-exact-reading","900","","","","",""
"y3-measurement-post-18-v3","Post-Test","AC9M3M02","A straw begins at 3 cm and ends at 15 cm on a ruler. A student reports 15 cm. What is its actual length in centimetres?","Constructed response","Challenging","Reasoning","ruler-starting-point","12","","","","",""
"y3-measurement-post-19-v3","Post-Test","AC9M3M04","The long clock hand points to 6 and the short hand is halfway between 7 and 8. A student says 6:07. Enter the correct time as four digits.","Constructed response","Challenging","Reasoning","analog-hand-role","0730","","","","",""
"y3-measurement-post-20-v3","Post-Test","AC9M3M02","Three boxes have masses 435 g, 690 g and 550 g. What is the difference between the heaviest and lightest in grams?","Constructed response","Very Challenging","Transfer","mixed-unit-comparison","255","","","","",""
