"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y3-starpath-pre-01-v1","Pre-Test","AC9M3SP01","How are the sphere and cylinder different?","Selected Response","Easy","Recall","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-pre-02-v1","Pre-Test","AC9M3SP01","What do the cube and rectangular prism share?","Selected Response","Easy","Recall","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-pre-03-v1","Pre-Test","AC9M3SP01","Choose an object that rolls and also stacks.","Selected Response","Moderate","Understanding","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-pre-04-v1","Pre-Test","AC9M3SP01","Choose the best object for a stable storage block.","Selected Response","Moderate","Understanding","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-pre-05-v1","Pre-Test","AC9M3SP01","Sort by surface type.","Manipulated Response","Easy","Understanding","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-pre-06-v1","Pre-Test","AC9M3SP01","Sort by vertices.","Manipulated Response","Moderate","Understanding","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-pre-07-v1","Pre-Test","AC9M3SP01","Sort by number of edges.","Manipulated Response","Challenging","Application","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-pre-08-v1","Pre-Test","AC9M3SP01","Sort by flat faces.","Manipulated Response","Moderate","Application","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-pre-09-v1","Pre-Test","AC9M3SP02","Make the training map.","Manipulated Response","Easy","Understanding","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-10-v1","Pre-Test","AC9M3SP02","Place the four camp landmarks.","Manipulated Response","Easy","Understanding","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-11-v1","Pre-Test","AC9M3SP02","Build the explorer's map.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-12-v1","Pre-Test","AC9M3SP02","Map the space camp.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-13-v1","Pre-Test","AC9M3SP02","Create the visitor map.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-14-v1","Pre-Test","AC9M3SP02","Build a map another explorer can read.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-15-v1","Pre-Test","AC9M3SP02","Place every landmark from the clues.","Manipulated Response","Challenging","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-16-v1","Pre-Test","AC9M3SP02","Create the complete camp map.","Manipulated Response","Easy","Reasoning","map-relative-location","Validated interaction","","","","",""
"y3-starpath-pre-17-v1","Pre-Test","AC9M3SP02","Write a route to the Observatory.","Manipulated Response","Moderate","Reasoning","route-start-order","Validated interaction","","","","",""
"y3-starpath-pre-18-v1","Pre-Test","AC9M3SP02","Write a route from the marked start to Star Garden.","Manipulated Response","Challenging","Reasoning","route-start-order","Validated interaction","","","","",""
"y3-starpath-pre-19-v1","Pre-Test","AC9M3SP02","Plan a route to Space Camp.","Manipulated Response","Easy","Reasoning","route-start-order","Validated interaction","","","","",""
"y3-starpath-pre-20-v1","Pre-Test","AC9M3SP02","Record directions that finish at the Launch Pad.","Manipulated Response","Challenging","Transfer","route-start-order","Validated interaction","","","","",""
"y3-starpath-post-01-v1","Post-Test","AC9M3SP01","What do the cone and square pyramid share?","Selected Response","Easy","Recall","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-post-02-v1","Post-Test","AC9M3SP01","How are the cylinder and cone different?","Selected Response","Easy","Understanding","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-post-03-v1","Post-Test","AC9M3SP01","Choose the best object for a roller on an axle.","Selected Response","Moderate","Understanding","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-post-04-v1","Post-Test","AC9M3SP01","Choose an object with 5 faces, 8 edges and 5 vertices.","Selected Response","Moderate","Understanding","object-use-without-features","Validated interaction","","","","",""
"y3-starpath-post-05-v1","Post-Test","AC9M3SP01","Sort objects that can roll.","Manipulated Response","Easy","Understanding","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-post-06-v1","Post-Test","AC9M3SP01","Sort by vertex count.","Manipulated Response","Moderate","Understanding","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-post-07-v1","Post-Test","AC9M3SP01","Sort by number of faces.","Manipulated Response","Challenging","Application","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-post-08-v1","Post-Test","AC9M3SP01","Sort by edges.","Manipulated Response","Moderate","Application","object-feature-vocabulary","Validated interaction","","","","",""
"y3-starpath-post-09-v1","Post-Test","AC9M3SP02","Make the rescue map.","Manipulated Response","Easy","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-10-v1","Post-Test","AC9M3SP02","Place the four mission landmarks.","Manipulated Response","Easy","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-11-v1","Post-Test","AC9M3SP02","Build the navigator's map.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-12-v1","Post-Test","AC9M3SP02","Map the lunar base.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-13-v1","Post-Test","AC9M3SP02","Create the emergency map.","Manipulated Response","Moderate","Application","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-14-v1","Post-Test","AC9M3SP02","Build a map another crew can read.","Manipulated Response","Moderate","Reasoning","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-15-v1","Post-Test","AC9M3SP02","Place all lunar landmarks from the clues.","Manipulated Response","Challenging","Reasoning","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-16-v1","Post-Test","AC9M3SP02","Create the complete base map.","Manipulated Response","Moderate","Reasoning","map-relative-location","Validated interaction","","","","",""
"y3-starpath-post-17-v1","Post-Test","AC9M3SP02","Write a route to Signal Tower.","Manipulated Response","Challenging","Reasoning","route-start-order","Validated interaction","","","","",""
"y3-starpath-post-18-v1","Post-Test","AC9M3SP02","Plan a route from the marked start to Solar Lab.","Manipulated Response","Challenging","Reasoning","route-start-order","Validated interaction","","","","",""
"y3-starpath-post-19-v1","Post-Test","AC9M3SP02","Record directions that finish at Rover Bay.","Manipulated Response","Challenging","Transfer","route-start-order","Validated interaction","","","","",""
"y3-starpath-post-20-v1","Post-Test","AC9M3SP02","Create a route to Lunar Dome.","Manipulated Response","Challenging","Transfer","route-start-order","Validated interaction","","","","",""
