"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y1-starpath-pre-01-v1","Pre-Test","AC9M1SP01","Which statement is true?","Selected Response","Easy","Recall","shape-feature-count","Validated interaction","","","","",""
"y1-starpath-pre-02-v1","Pre-Test","AC9M1SP01","Which name matches this shape?","Selected Response","Easy","Recall","shape-orientation-invariance","Validated interaction","","","","",""
"y1-starpath-pre-03-v1","Pre-Test","AC9M1SP01","Why do these belong together?","Selected Response","Easy","Recall","classification-single-rule","Validated interaction","","","","",""
"y1-starpath-pre-04-v1","Pre-Test","AC9M1SP01","What is the same about these objects?","Selected Response","Easy","Recall","shape-in-object","Validated interaction","","","","",""
"y1-starpath-pre-05-v1","Pre-Test","AC9M1SP01","Which shape belongs with the square?","Selected Response","Easy","Understanding","shape-colour-size","Validated interaction","","","","",""
"y1-starpath-pre-06-v1","Pre-Test","AC9M1SP01","What shape can you find in both objects?","Selected Response","Moderate","Understanding","shape-in-object","Validated interaction","","","","",""
"y1-starpath-pre-07-v1","Pre-Test","AC9M1SP01","Make the triangle.","Manipulated Response","Easy","Understanding","shape-feature-count","Validated interaction","","","","",""
"y1-starpath-pre-08-v1","Pre-Test","AC9M1SP01","Complete the square.","Manipulated Response","Easy","Understanding","shape-feature-count","Validated interaction","","","","",""
"y1-starpath-pre-09-v1","Pre-Test","AC9M1SP01","Match objects with the same outline.","Manipulated Response","Moderate","Understanding","shape-in-object","Validated interaction","","","","",""
"y1-starpath-pre-10-v1","Pre-Test","AC9M1SP01","Make the turned square.","Manipulated Response","Moderate","Application","shape-orientation-invariance","Validated interaction","","","","",""
"y1-starpath-pre-11-v1","Pre-Test","AC9M1SP01","Complete the rectangle.","Manipulated Response","Moderate","Application","shape-feature-count","Validated interaction","","","","",""
"y1-starpath-pre-12-v1","Pre-Test","AC9M1SP01","Match each object to another with the same shape.","Manipulated Response","Challenging","Reasoning","shape-colour-size, shape-in-object","Validated interaction","","","","",""
"y1-starpath-pre-13-v1","Pre-Test","AC9M1SP02","Record the shown path in order.","Manipulated Response","Easy","Understanding","route-start-order","Validated interaction","","","","",""
"y1-starpath-pre-14-v1","Pre-Test","AC9M1SP02","Record this path for the rover.","Manipulated Response","Easy","Understanding","viewpoint-left-right","Validated interaction","","","","",""
"y1-starpath-pre-15-v1","Pre-Test","AC9M1SP02","Give directions to the star.","Manipulated Response","Easy","Application","route-destination-only","Validated interaction","","","","",""
"y1-starpath-pre-16-v1","Pre-Test","AC9M1SP02","Finish the directions to the star.","Manipulated Response","Moderate","Application","route-start-order","Validated interaction","","","","",""
"y1-starpath-pre-17-v1","Pre-Test","AC9M1SP02","Tap the direction that breaks the route.","Selected Response","Moderate","Application","route-start-order","Validated interaction","","","","",""
"y1-starpath-pre-18-v1","Pre-Test","AC9M1SP02","Which direction stops the rover reaching the flag?","Selected Response","Challenging","Reasoning","route-destination-only","Validated interaction","","","","",""
"y1-starpath-pre-19-v1","Pre-Test","AC9M1SP02","Give directions from the rover to the star.","Manipulated Response","Moderate","Application","viewpoint-left-right","Validated interaction","","","","",""
"y1-starpath-pre-20-v1","Pre-Test","AC9M1SP02","Add the missing directions and reach the star.","Manipulated Response","Moderate","Reasoning","route-start-order, route-destination-only","Validated interaction","","","","",""
"y1-starpath-post-01-v1","Post-Test","AC9M1SP01","Choose the true statement about this triangle.","Selected Response","Easy","Recall","shape-feature-count","Validated interaction","","","","",""
